monarch_power = ADM

ahead_of_time = {
	production_efficiency = 0.2
    yearly_corruption = -0.05
}

# 0
technology = {
	year = 686
    
    tauren_tribe_legacy = yes
	taunka_tribe_legacy = yes
	tuskarr_tribe_legacy = yes
	furbolg_tribe_legacy = yes
	gnoll_tribe_legacy = yes
	gorloc_tribe_legacy = yes
	harpy_tribe_legacy = yes
	hozen_tribe_legacy = yes
	kobold_tribe_legacy = yes
	magnataur_tribe_legacy = yes
	murloc_tribe_legacy = yes
	pygmy_tribe_legacy = yes
	quillboar_tribe_legacy = yes
	spriteling_tribe_legacy = yes
	wolvar_tribe_legacy = yes
	trogg_tribe_legacy = yes
	broken_tribe_legacy = yes
	grummle_tribe_legacy = yes
	frost_giant_tribe_legacy = yes
	sea_giant_tribe_legacy = yes
	drogbar_tribe_legacy = yes
	fungarian_tribe_legacy = yes
	botani_tribe_legacy = yes
	podling_tribe_legacy = yes
	sporeling_tribe_legacy = yes
	saberon_tribe_legacy = yes
	tortollan_tribe_legacy = yes
	virmen_tribe_legacy = yes
	vulpera_tribe_legacy = yes
	
    centaur_clan_legacy = yes
	satyr_clan_legacy = yes
}
# 1
technology = {
	year = 726
	
	may_support_rebels = yes
}
# 2
technology = {
	year = 756
    
    human_kingdom_legacy = yes
	dwarf_kingdom_legacy = yes
	dark_iron_kingdom_legacy = yes
	tolvir_kingdom_legacy = yes
	nerubian_kingdom_legacy = yes
	vrykul_kingdom_legacy = yes
	dragon_council_legacy = yes
	pandaren_commune_legacy = yes
	dryad_commune_legacy = yes
	jinyu_kingdom_legacy = yes
	arrakoa_kingdom_legacy = yes
	sethrak_kingdom_legacy = yes
	technocracy_legacy = yes
	magocracy_legacy = yes
	forsaken_warband_legacy = yes
	scourge_warband_legacy = yes
	qiraji_hive_legacy = yes
	mantid_hive_legacy = yes
	mogu_clan_legacy = yes
	naga_clan_legacy = yes
	ogre_clan_legacy = yes
	orc_clan_legacy = yes
	troll_tribe_legacy = yes
	yaungol_tribe_legacy = yes
	saurok_tribe_legacy = yes
	trade_cartel_legacy = yes
	ethereal_cartel_legacy = yes
	pirate_clan_legacy = yes
}
# 3
technology = {
	year = 776

	production_efficiency = 0.05
}
# 4
technology = {
	year = 789

    farm = yes
}
# 5
technology = {
	year = 802

	allowed_idea_groups = 1
	production_efficiency = 0.05
}
# 6
technology = {
	year = 815
	
    tavern = yes
}
# 7
technology = {
	year = 828
	
	allowed_idea_groups = 2	
}
# 8
technology = {
	year = 841

    town_hall = yes

	max_states = 3
}
# 9
technology = {
	year = 854

	production_efficiency = 0.05
    mine = yes
}
# 10
technology = {
	year = 867
	
	allowed_idea_groups = 3

    night_elf_theocracy_legacy = yes
	draenei_theocracy_legacy = yes
	holy_order_legacy = yes
	night_elf_order_legacy = yes
	draenei_order_legacy = yes
	titan_order_legacy = yes
	earthen_order_legacy = yes
	nraqi_cult_legacy = yes
	void_cult_legacy = yes
	demon_cult_legacy = yes
	arcane_cult_legacy = yes
}
# 11
technology = {
	year = 880
	
    farmers_guild = yes
}
# 12
technology = {
	year = 893
	
	max_states = 3
}
# 13
technology = {
	year = 906
	
	production_efficiency = 0.05
}
# 14
technology = {
	year = 919
	
	allowed_idea_groups = 4
    foresters_guild = yes
}
# 15
technology = {
	year = 932
	
	may_force_march = yes
    grand_palace = yes
}
# 16
technology = {
	year = 945
	
	production_efficiency = 0.05

    grand_temple = yes
}
# 17
technology = {
	year = 958

	max_states = 5
	
	administrative_efficiency = 0.1
	development_efficiency = 0.1
}
# 18
technology = {
	year = 971
	
	allowed_idea_groups = 5
}
# 19
technology = {
	year = 984
	
    tourney_grounds = yes   
}
# 20
technology = {
	year = 997
	
	max_states = 5
}
# 21
technology = {
	year = 1010
	
	production_efficiency = 0.05
}
# 22
technology = {
	year = 1023
	
	allowed_idea_groups = 6
}
# 23
technology = {
	year = 1036
	
	administrative_efficiency = 0.1
	development_efficiency = 0.1
}
# 24
technology = {
	year = 1049
	
	max_states = 5
}
# 25
technology = {
	year = 1062
	
	production_efficiency = 0.05
}
# 26
technology = {
	year = 1075
	
	allowed_idea_groups = 7
}
# 27
technology = {
	year = 1088
	
	administrative_efficiency = 0.1
	development_efficiency = 0.1	
	max_states = 5
}
# 28
technology = {
	year = 1101

	production_efficiency = 0.05
}
# 29
technology = {
	year = 1114

	allowed_idea_groups = 8
}
# 30
technology = {
	year = 1127
	
	production_efficiency = 0.05
}
# 31
technology = {
	year = 1140

	max_states = 5
}
# 32
technology = {
	year = 1153
	
	production_efficiency = 0.05
}

