From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
3333;3425;sea;372;-1;-1;-1;-1;Lower Azeroth to Upper Azeroth
3628;3629;sea;883;-1;-1;-1;-1;
3644;3648;sea;873;-1;-1;-1;-1;
2913;2908;;1515;-1;-1;-1;-1;
2913;2907;;1515;-1;-1;-1;-1;
2913;2906;;1515;-1;-1;-1;-1;
2913;2912;;1515;-1;-1;-1;-1;
2913;2911;;1515;-1;-1;-1;-1;
2913;2910;;1515;-1;-1;-1;-1;
2913;2909;;1515;-1;-1;-1;-1;
3084;3083;;1523;-1;-1;-1;-1;
3084;3089;;1523;-1;-1;-1;-1;
3084;3082;;1523;-1;-1;-1;-1;
3084;3105;;1523;-1;-1;-1;-1;
3084;3102;;1523;-1;-1;-1;-1;
3084;3101;;1523;-1;-1;-1;-1;
3084;3090;;1523;-1;-1;-1;-1;
3084;3085;;1523;-1;-1;-1;-1;
3085;3101;;1523;-1;-1;-1;-1;
3085;3102;;1523;-1;-1;-1;-1;
3085;3090;;1523;-1;-1;-1;-1;
3085;3091;;1523;-1;-1;-1;-1;
3085;3100;;1523;-1;-1;-1;-1;
3085;3098;;1523;-1;-1;-1;-1;
3085;3097;;1523;-1;-1;-1;-1;
3085;3096;;1523;-1;-1;-1;-1;
3086;3095;;1523;-1;-1;-1;-1;
3086;3096;;1523;-1;-1;-1;-1;
3086;3094;;1523;-1;-1;-1;-1;
3086;3093;;1523;-1;-1;-1;-1;
3086;3092;;1523;-1;-1;-1;-1;
3086;3091;;1523;-1;-1;-1;-1;
3088;3096;sea;347;-1;-1;-1;-1;
3087;3111;;1523;-1;-1;-1;-1;
3087;3110;;1523;-1;-1;-1;-1;
3087;3109;;1523;-1;-1;-1;-1;
3087;3107;;1523;-1;-1;-1;-1;
2970;2967;;1519;-1;-1;-1;-1;
2970;2968;;1519;-1;-1;-1;-1;
2970;2969;;1519;-1;-1;-1;-1;
2970;2971;;1519;-1;-1;-1;-1;
2970;2972;;1519;-1;-1;-1;-1;
2970;2965;;1519;-1;-1;-1;-1;
2970;2966;;1519;-1;-1;-1;-1;
3369;3393;;356;-1;-1;-1;-1;
3369;3394;;356;-1;-1;-1;-1;
3369;3390;;356;-1;-1;-1;-1;
3369;3391;;356;-1;-1;-1;-1;
3885;3905;lake;1540;-1;-1;-1;-1;
3884;3886;lake;1540;-1;-1;-1;-1;
3884;3883;lake;1540;-1;-1;-1;-1;
3943;3941;;1543;-1;-1;-1;-1;
3943;3938;;1543;-1;-1;-1;-1;
3943;3937;;1543;-1;-1;-1;-1;
3943;3946;;1543;-1;-1;-1;-1;
3943;3948;;1543;-1;-1;-1;-1;
3943;3947;;1543;-1;-1;-1;-1;
3943;3945;;1543;-1;-1;-1;-1;
3943;3944;;1543;-1;-1;-1;-1;
4039;4043;;1548;-1;-1;-1;-1;
4039;4040;;1548;-1;-1;-1;-1;
4039;4042;;1548;-1;-1;-1;-1;
4039;4041;;1548;-1;-1;-1;-1;
4123;4048;sea;393;-1;-1;-1;-1;
4125;4129;sea;393;-1;-1;-1;-1;
4191;4158;sea;391;-1;-1;-1;-1;
4201;4163;sea;383;-1;-1;-1;-1;
4195;4202;sea;383;-1;-1;-1;-1;
4332;4240;lake;1563;-1;-1;-1;-1;
4332;4226;lake;1563;-1;-1;-1;-1;
4509;2008;sea;470;-1;-1;-1;-1;
2009;2008;sea;470;-1;-1;-1;-1;
3820;2008;sea;470;-1;-1;-1;-1;
4282;4281;lake;1557;-1;-1;-1;-1;
4282;4285;lake;1557;-1;-1;-1;-1;
4357;3793;sea;478;-1;-1;-1;-1;
3795;3800;sea;478;-1;-1;-1;-1;
3796;3775;sea;478;-1;-1;-1;-1;
3776;3775;sea;478;-1;-1;-1;-1;
6791;6180;lake;1573;-1;-1;-1;-1;
6787;6180;lake;1573;-1;-1;-1;-1;
6699;6181;lake;1573;-1;-1;-1;-1;
6957;6181;lake;1573;-1;-1;-1;-1;
6182;6187;sea;721;-1;-1;-1;-1;
5673;5667;lake;1611;-1;-1;-1;-1;
5666;5667;lake;1611;-1;-1;-1;-1;
4837;4834;;1609;-1;-1;-1;-1;
4837;4836;;1609;-1;-1;-1;-1;
4837;4833;;1609;-1;-1;-1;-1;
4837;4838;;1609;-1;-1;-1;-1;
4837;4840;;1609;-1;-1;-1;-1;
4837;4842;;1609;-1;-1;-1;-1;
4844;4833;;1609;-1;-1;-1;-1;
4844;4848;;1609;-1;-1;-1;-1;
4844;4846;;1609;-1;-1;-1;-1;
4844;4845;;1609;-1;-1;-1;-1;
4848;4832;;1609;-1;-1;-1;-1;
4848;4846;;1609;-1;-1;-1;-1;
4848;4847;;1609;-1;-1;-1;-1;
4848;4851;;1609;-1;-1;-1;-1;
